;Codigo_provincia;Provincia;Codigo_municipio;Total_vc_2015;Total_vu_2015;Alquiler_mes_vc_m2_2015;Alquiler_mes_vu_m2_2015;Total_vc_2016;Total_vu_2016;Alquiler_mes_vc_m2_2016;Alquiler_mes_vu_m2_2016;Total_vc_2017;Total_vu_2017;Alquiler_mes_vc_m2_2017;Alquiler_mes_vu_m2_2017;Total_vc_2018;Total_vu_2018;Alquiler_mes_vc_m2_2018;Alquiler_mes_vu_m2_2018;Total_vc_2019;Total_vu_2019;Alquiler_mes_vc_m2_2019;Alquiler_mes_vu_m2_2019;Total_vc_2020;Total_vu_2020;Alquiler_mes_vc_m2_2020;Alquiler_mes_vu_m2_2020;Total_vc_2021;Total_vu_2021;Alquiler_mes_vc_m2_2021;Alquiler_mes_vu_m2_2021;Comunidad_autonoma;Poblacion_2003;Poblacion_2004;Poblacion_2005;Poblacion_2006;Poblacion_2007;Poblacion_2008;Poblacion_2009;Poblacion_2010;Poblacion_2011;Poblacion_2012;Poblacion_2013;Poblacion_2014;Poblacion_2015;Poblacion_2016;Poblacion_2017;Poblacion_2018;Poblacion_2019;Poblacion_2020;Poblacion_2021;Poblacion_2022;Inmuebles_totales;Viviendas_turisticas_2020;Viviendas_turisticas_2021;Viviendas_turisticas_2022;Turistas_2020;Turistas_2021;Turistas_2022;Total_casas_alquiler_2015;Porcentaje_viviendas_alquiler_2015;Porcentaje_vc_alquiler_2015;Porcentaje_vu_alquiler_2015;Total_casas_alquiler_2016;Porcentaje_viviendas_alquiler_2016;Porcentaje_vc_alquiler_2016;Porcentaje_vu_alquiler_2016;Total_casas_alquiler_2017;Porcentaje_viviendas_alquiler_2017;Porcentaje_vc_alquiler_2017;Porcentaje_vu_alquiler_2017;Total_casas_alquiler_2018;Porcentaje_viviendas_alquiler_2018;Porcentaje_vc_alquiler_2018;Porcentaje_vu_alquiler_2018;Total_casas_alquiler_2019;Porcentaje_viviendas_alquiler_2019;Porcentaje_vc_alquiler_2019;Porcentaje_vu_alquiler_2019;Porcentaje_viviendas_turisticas_2020;Total_casas_alquiler_2020;Porcentaje_viviendas_alquiler_2020;Porcentaje_vc_alquiler_2020;Porcentaje_vu_alquiler_2020;Porcentaje_viviendas_turisticas_2021;Total_casas_alquiler_2021;Porcentaje_viviendas_alquiler_2021;Porcentaje_vc_alquiler_2021;Porcentaje_vu_alquiler_2021;Porcentaje_viviendas_turisticas_2022
Santa Oliva;43;Tarragona;43140;13.0;44.0;3.69858994708995;4.17066593537182;14.0;62.0;3.6144578313253;3.84615384615385;17.0;64.0;3.6590807675145;4.47816777847266;20.0;61.0;4.05263157894737;4.58129833129833;23.0;62.0;4.57013238137736;5.0;27.0;81.0;4.61720736155632;4.64039621016365;29.0;87.0;4.81927710843374;4.95867768595041;Cataluña;2422.0;2598.0;2700.0;2907.0;2988.0;3133.0;3240.0;3327.0;3343.0;3322.0;3311.0;3287.0;3283.0;3260.0;3315.0;3328.0;3320.0;3353.0;3450.0;3560.0;1269.0;10.0;15.0;15.0;8898.0;6251.0;9211.0;57.0;4.491725768321513;1.024428684003152;2.8365109220462323;76.0;5.98896769109535;1.103230890464933;3.2345703288076355;81.0;6.382978723404255;1.3396375098502757;3.6113574520014247;81.0;6.382978723404255;1.5760441292356187;3.8295514537892696;85.0;6.698187549251379;1.8124507486209613;3.9393673458988454;0.7880220646178093;108.0;8.51063829787234;2.127659574468085;4.817932742879729;1.1820330969267139;116.0;9.141055949566589;2.285263987391647;4.874706691861261;1.1820330969267139
Santa Perpètua de Mogoda;8;Barcelona;8260;616.0;123.0;6.59722222222222;5.57383040935673;708.0;130.0;6.63265306122449;5.72413793103448;777.0;130.0;6.80816005802708;5.64096982758621;817.0;138.0;7.14285714285714;5.95565789473684;857.0;142.0;7.62453493179;6.506;919.0;148.0;7.85898379970545;6.01090163934426;938.0;144.0;8.08823529411765;6.56926406926407;Cataluña;20652.0;20844.0;21409.0;21644.0;23443.0;24325.0;25048.0;25191.0;25331.0;25606.0;25473.0;25409.0;25466.0;25556.0;25574.0;25705.0;25799.0;25999.0;26033.0;25930.0;9498.0;6.0;11.0;8.0;56295.0;63498.5;87215.5;739.0;7.780585386397136;6.485575910718046;1.2950094756790904;838.0;8.822910086333964;7.454200884396715;1.36870920193725;907.0;9.549378816592967;8.180669614655717;1.36870920193725;955.0;10.05474836807749;8.601810907559486;1.4529374605180039;1019.0;10.728574436723521;9.23352284691514;1.4950515898083807;0.06317119393556538;1067.0;11.233943988208043;9.675721204464098;1.5582227837439462;0.11581385554853653;1082.0;11.391871973046957;9.875763318593387;1.5161086544535691;0.08422825858075385
Santa Pola;3;Alicante;3121;265.0;165.0;4.45195195195195;5.17241379310345;335.0;188.5;4.62248724872487;5.31108961960026;403.0;205.5;4.68583408956092;5.50847457627119;437.0;221.5;5.0;5.88235294117647;475.0;225.0;5.06636779184247;6.25;626.0;280.0;5.3030303030303;6.38297872340426;673.0;283.5;5.57081807081807;6.74945612762872;Comunitat Valenciana;22253.0;23220.0;25494.0;27521.0;29221.0;30050.75;30496.75;30889.75;31108.5;31420.0;31512.5;31486.5;31552.0;31309.0;31137.0;31745.0;32220.5;32534.5;32642.0;32878.5;17032.5;120.5;238.5;246.0;56295.0;63498.5;87215.5;561.0;1.2659370416337583;0.5979916506826131;0.6679453909511452;700.0;1.5796005867087894;0.7559517093534921;0.8236488773552973;837.0;1.8887509872503667;0.9093986234909173;0.9793523637594495;929.0;2.0963556357892363;0.9861220805596299;1.1102335552296063;1008.0;2.2746248448606567;1.0718718266952498;1.2027530181654067;2.164064738601302;1289.5;3.0915040054157736;1.412614238971003;1.6788897664447704;4.221006802768348;1288.0;3.3216743766219112;1.5186731355071645;1.8030012411147467;4.391076458889331
Santa Susanna;8;Barcelona;8261;53.0;57.0;5.78288043478261;5.08796997907195;58.0;59.0;6.0515873015873;4.85631743109884;56.0;62.0;5.88235294117647;6.0;61.0;67.0;6.25;6.1795929277886;57.0;64.0;7.24789915966387;6.40350877192983;82.0;81.0;7.59401709401709;6.41461871293339;77.0;85.0;7.52840909090909;6.53763440860215;Cataluña;2413.0;2681.0;2868.0;2939.0;3019.0;3119.0;3251.0;3308.0;3317.0;3338.0;3325.0;3293.0;3275.0;3323.0;3352.0;3381.0;3446.0;3548.0;3650.0;3755.0;1985.0;120.5;238.5;181.0;47054.0;63498.5;87215.5;110.0;5.541561712846348;2.6700251889168767;2.8365109220462323;117.0;5.894206549118388;2.9219143576826196;2.972292191435768;118.0;5.944584382871536;2.8211586901763224;3.123425692695214;128.0;6.448362720403023;3.0730478589420653;3.375314861460957;121.0;6.095717884130982;2.8715365239294712;3.2241813602015115;2.164064738601302;163.0;8.211586901763225;4.130982367758186;4.080604534005038;4.221006802768348;162.0;8.161209068010075;3.8790931989924435;4.282115869017632;4.391076458889331
Santa Úrsula;38;Santa Cruz de Tenerife;38039;317.0;88.0;3.80843162953255;4.28403755868545;337.0;115.0;3.84615384615385;4.44911332266232;404.0;116.0;4.0;4.329494478951;442.0;140.0;4.0;4.51219512195122;475.0;138.0;4.34782608695652;5.17293108621207;565.0;182.0;4.5608339538347;4.80811403508772;594.0;194.0;4.82155257936508;5.17824924824591;Canarias;11959.0;12237.0;12632.0;12835.0;13393.0;13835.0;14013.0;14143.0;14333.0;14374.0;14545.0;14296.0;14246.0;14125.0;14189.0;14445.0;14679.0;14953.0;14987.0;15114.0;6394.0;120.5;238.5;246.0;40526.0;24684.0;48420.0;405.0;6.33406318423522;4.957772912105098;1.376290272130122;452.0;7.069127306850172;5.270566155771036;1.7985611510791366;520.0;8.132624335314357;6.318423522051924;1.8142008132624334;582.0;9.102283390678762;6.912730685017204;2.1895527056615576;613.0;9.587112918360964;7.428839537066;2.158273381294964;2.164064738601302;747.0;11.68282765092274;8.836409133562714;2.846418517360025;4.221006802768348;788.0;12.32405380043791;9.289959336878324;3.0340944635595872;4.391076458889331
Santaella;14;Córdoba;14060;2.0;10.0;3.0543645717108654;2.03821147939851;3.0;10.0;3.023512087878431;1.84828966767645;5.0;9.0;3.0720423996617807;2.620825810791487;5.0;11.0;3.01124132212814;2.50355113636364;5.0;9.0;3.2056077203389197;2.6788256256344427;7.0;12.0;3.3131299823142126;1.92307692307692;5.0;16.0;3.3556591234157507;2.41435035552683;Andalucía;5943.0;5938.0;5976.0;6002.0;6022.0;6050.0;6090.0;6182.0;6130.0;6136.0;6142.0;6097.0;6062.0;6079.0;6049.0;6014.0;4629.0;4614.0;4611.0;4637.0;2914.0;8.0;17.0;10.0;2489.0;4980.0;7691.0;12.0;0.4118050789293068;0.06863417982155114;0.34317089910775567;13.0;0.4461221688400824;0.1029512697323267;0.34317089910775567;14.0;0.4804392587508579;0.17158544955387783;0.3088538091969801;16.0;0.5490734385724091;0.17158544955387783;0.37748798901853126;14.0;0.4804392587508579;0.17158544955387783;0.3088538091969801;0.27453671928620454;19.0;0.6520247083047358;0.24021962937542896;0.4118050789293068;0.5833905284831846;21.0;0.7206588881262869;0.17158544955387783;0.5490734385724091;0.34317089910775567
Santander;39;Cantabria;39075;641.0;165.0;6.06060606060606;4.80487804878049;740.5;167.0;6.1479574836732;5.0;800.0;185.0;6.25;5.15630035449565;846.0;199.0;6.42857142857143;5.31544957774466;857.0;225.0;6.78211474993653;5.71428571428571;1007.5;261.0;7.00934579439252;5.56847545219638;994.0;263.0;7.22222222222222;5.8588469856718;Cantabria;27062.25;27568.875;28349.375;28870.0;29602.25;30050.75;30496.75;30889.75;31108.5;31420.0;31512.5;31486.5;31552.0;31416.0;31612.5;32024.5;32220.5;32534.5;32642.0;32878.5;17032.5;120.5;238.5;246.0;56295.0;63498.5;87215.5;827.2611940298507;7.860207569319634;7.685674808065907;0.174532761253727;908.6901408450705;8.500161027249966;8.326667151479892;0.17349387577007386;991.0;9.018564883592882;8.826371069117052;0.19219381447583034;1050.5;9.562940877027126;9.35620266578015;0.20673821124697425;1101.5;10.005506093063362;9.770717973757753;0.23478811930560894;1.031613285267565;1289.5;11.692656118516055;11.421507007282587;0.27114911123346874;1.9863490447447978;1288.0;12.139376876486905;11.866149994286129;0.273226882200775;2.3561922769253147
Santanyí;7;Balears, Illes;7057;293.0;165.0;4.8780487804878;3.64520586776274;343.0;188.5;4.96728100739654;3.87096774193548;387.0;205.5;5.15668466699395;4.03225806451613;393.0;221.5;5.43668954996186;4.28774350649351;405.0;225.0;5.95238095238095;4.53545875420875;448.0;280.0;5.72727272727273;4.28799273607748;446.0;283.5;6.03123728123728;4.84991039426523;Balears, Illes;10253.0;10337.0;10673.0;11172.0;11720.0;12303.0;12664.0;12823.0;13095.0;13384.0;11784.0;11636.0;11316.0;11220.0;11348.0;12112.0;12237.0;12373.0;12342.0;12321.0;9379.0;120.5;238.5;246.0;56295.0;63498.5;87215.5;530.0;5.6509222731634505;3.1240004264846997;2.5269218466787504;607.0;6.471905320396631;3.6571063013114404;2.81479901908519;677.0;7.2182535451540675;4.126239471158972;3.0920140739950956;694.0;7.399509542595159;4.190212176138181;3.2092973664569784;706.0;7.527454952553577;4.318157586096599;3.2092973664569784;2.164064738601302;797.0;8.497707644738245;4.776628638447596;3.7210790062906494;4.221006802768348;824.0;8.785584817144684;4.755304403454526;4.030280413690159;4.391076458889331
Santiago de Compostela;15;Coruña, A;15078;641.0;165.0;5.26315789473684;3.30882352941176;740.5;188.5;5.26582278481013;3.44830459770115;800.0;205.5;5.34722222222222;3.52251838235294;846.0;221.5;5.44554455445545;3.5;857.0;225.0;5.75414138504864;3.54545454545455;1007.5;280.0;5.88236519607843;3.5462825398876;994.0;283.5;6.12244897959184;3.63977238468496;Galicia;27062.25;27568.875;28349.375;28870.0;29602.25;30050.75;30496.75;30889.75;31108.5;31420.0;31512.5;31486.5;31552.0;31416.0;31612.5;32024.5;32220.5;32534.5;32642.0;32878.5;17032.5;120.5;238.5;246.0;56295.0;63498.5;87215.5;827.2611940298507;11.070971756490476;9.91927050180611;0.8780723891174336;908.6901408450705;11.698413247139351;10.751201299823695;0.9472119473156566;991.0;12.721678708473053;11.68285684654475;1.0388218619283023;1050.5;12.994779963356034;11.93348774501331;1.0612922183427247;1101.5;13.511598160887752;12.405365229716182;1.1062329311715697;1.3119231168112835;1289.5;16.51052649773568;15.041310886023439;1.4692156117122412;2.3455595118747192;1288.0;16.968576070798907;15.15865405531363;1.4934144570816192;2.120855947730494
Santiago del Teide;38;Santa Cruz de Tenerife;38040;259.0;34.0;6.08594437070349;4.20872274143302;301.0;49.0;6.25;4.7723311546841;405.0;68.0;6.46767928825403;5.32592723004695;393.0;76.0;6.87964841108857;4.96835443037975;410.0;83.0;7.53424657534247;5.26947726979207;461.0;107.0;7.43481628412676;4.06101834673263;463.0;112.0;7.42857142857143;4.32989078822412;Canarias;10523.0;10777.0;11212.0;11379.0;11493.0;11825.0;12050.0;12099.0;12274.0;12392.0;12634.0;10468.0;10690.0;11338.0;10576.0;10755.0;11111.0;11281.0;11115.0;11162.0;9086.0;120.5;238.5;246.0;56295.0;63498.5;87215.5;293.0;3.2247413603345807;2.8505392912172574;0.37420206911732334;350.0;3.852080123266564;3.312788906009245;0.539291217257319;473.0;5.2058111380145276;4.457406999779881;0.7484041382346467;469.0;5.1617873651771955;4.325335681267885;0.836451683909311;493.0;5.425930002201189;4.512436715826547;0.9134932863746423;2.164064738601302;568.0;6.251375742901167;5.073739819502531;1.1776359233986353;4.221006802768348;575.0;6.328417345366498;5.095751705921198;1.2326656394453004;4.391076458889331
